Syllabus,Module Code
SCC CTP1 - New Entry to Cadet,NE01
SCC CTP1 - New Entry to Cadet,NE02
SCC CTP1 - New Entry to Cadet,NE03
SCC CTP1 - New Entry to Cadet,NE04
SCC CTP1 - New Entry to Cadet,NE05
SCC CTP1 - New Entry to Cadet,NE06
SCC CTP1 - New Entry to Cadet,NE07
SCC CTP1 - New Entry to Cadet,NE08
SCC CTP1 - New Entry to Cadet,NE09
SCC CTP1 - New Entry to Cadet,NE10
SCC CTP1 - New Entry to Cadet,NE11
SCC CTP1 - New Entry to Cadet,NE12
SCC CTP1 - New Entry to Cadet,NE13
SCC CTP1 - New Entry to Cadet,NE13
SCC CTP1 - New Entry to Cadet,NE14
SCC CTP1 - New Entry to Cadet,NE15
SCC CTP1 - New Entry to Cadet,NE15
SCC CTP1 - New Entry to Cadet,NE16
SCC CTP1 - New Entry to Cadet,Eligible for Promotion to Cadet
SCC CTP2 - Cadet to Cadet 1st Class,CAV01
SCC CTP2 - Cadet to Cadet 1st Class,CK01
SCC CTP2 - Cadet to Cadet 1st Class,CK02
SCC CTP2 - Cadet to Cadet 1st Class,CK03
SCC CTP2 - Cadet to Cadet 1st Class,CK04
SCC CTP2 - Cadet to Cadet 1st Class,CK05
SCC CTP2 - Cadet to Cadet 1st Class,CK06
SCC CTP2 - Cadet to Cadet 1st Class,CK07
SCC CTP2 - Cadet to Cadet 1st Class,CK08
SCC CTP2 - Cadet to Cadet 1st Class,CV01
SCC CTP2 - Cadet to Cadet 1st Class,CWB01
SCC CTP2 - Cadet to Cadet 1st Class,DR01
SCC CTP2 - Cadet to Cadet 1st Class,DR02
SCC CTP2 - Cadet to Cadet 1st Class,DR03
SCC CTP2 - Cadet to Cadet 1st Class,DR04
SCC CTP2 - Cadet to Cadet 1st Class,ES01
SCC CTP2 - Cadet to Cadet 1st Class,ES02
SCC CTP2 - Cadet to Cadet 1st Class,ES03
SCC CTP2 - Cadet to Cadet 1st Class,ES04
SCC CTP2 - Cadet to Cadet 1st Class,FA01
SCC CTP2 - Cadet to Cadet 1st Class,FA02
SCC CTP2 - Cadet to Cadet 1st Class,FA03
SCC CTP2 - Cadet to Cadet 1st Class,FA04
SCC CTP2 - Cadet to Cadet 1st Class,FA05
SCC CTP2 - Cadet to Cadet 1st Class,FA06
SCC CTP2 - Cadet to Cadet 1st Class,FA07
SCC CTP2 - Cadet to Cadet 1st Class,FA08
SCC CTP2 - Cadet to Cadet 1st Class,FA09
SCC CTP2 - Cadet to Cadet 1st Class,FA10
SCC CTP2 - Cadet to Cadet 1st Class,FA11
SCC CTP2 - Cadet to Cadet 1st Class,FA12
SCC CTP2 - Cadet to Cadet 1st Class,HS01
SCC CTP2 - Cadet to Cadet 1st Class,MT01
SCC CTP2 - Cadet to Cadet 1st Class,MT02
SCC CTP2 - Cadet to Cadet 1st Class,MT03
SCC CTP2 - Cadet to Cadet 1st Class,NAV01
SCC CTP2 - Cadet to Cadet 1st Class,NAV02
SCC CTP2 - Cadet to Cadet 1st Class,NAV03
SCC CTP2 - Cadet to Cadet 1st Class,PIP01
SCC CTP2 - Cadet to Cadet 1st Class,RA01
SCC CTP2 - Cadet to Cadet 1st Class,RA02
SCC CTP2 - Cadet to Cadet 1st Class,RA03
SCC CTP2 - Cadet to Cadet 1st Class,RA04
SCC CTP2 - Cadet to Cadet 1st Class,RA05
SCC CTP2 - Cadet to Cadet 1st Class,SM01
SCC CTP2 - Cadet to Cadet 1st Class,SM02
SCC CTP2 - Cadet to Cadet 1st Class,SM03
SCC CTP2 - Cadet to Cadet 1st Class,SM04
SCC CTP2 - Cadet to Cadet 1st Class,WB01
SCC CTP2 - Cadet to Cadet 1st Class,WB02
SCC CTP2 - Cadet to Cadet 1st Class,WB03
SCC CTP2 - Cadet to Cadet 1st Class,WB04
SCC CTP2 - Cadet to Cadet 1st Class,Eligible for Promotion to Cadet 1st Class
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,CAV02
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,CK09
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,CK10
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,CK11
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,CK12
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,CK13
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,CV02
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,CV03 
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,CWB02
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,DR05
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,DR06
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,DR07
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,ES05
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,ES06
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,ES07
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,ES08
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,FA13
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,FA14
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,FA15
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,FA16
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,FA17
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,FA18
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,FA19
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,FA20
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,FA21
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,FA22
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,FA23
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,FA24
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,FA25
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,FA26
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,HS02
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,LT01
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,LT02
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,LT03
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,MT04
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,MT05
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,MT06
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,PIP02
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,RA06
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,RA07
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,RA08
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,RA09
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,SM05
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,SM06
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,SM07
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,SM08
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,SM09
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,WB05
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,WB06
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,WB07
SCC CTP3 - Cadet 1st Class to Ordinary Cadet,Eligible for Promotion to Ordinary Cadet
SCC CTP4 - Ordinary Cadet to Able Cadet,CAV03
SCC CTP4 - Ordinary Cadet to Able Cadet,CK13
SCC CTP4 - Ordinary Cadet to Able Cadet,CK14
SCC CTP4 - Ordinary Cadet to Able Cadet,CK15
SCC CTP4 - Ordinary Cadet to Able Cadet,CK16
SCC CTP4 - Ordinary Cadet to Able Cadet,CV04
SCC CTP4 - Ordinary Cadet to Able Cadet,CV05
SCC CTP4 - Ordinary Cadet to Able Cadet,CWB03
SCC CTP4 - Ordinary Cadet to Able Cadet,DR08
SCC CTP4 - Ordinary Cadet to Able Cadet,DR09
SCC CTP4 - Ordinary Cadet to Able Cadet,DR10
SCC CTP4 - Ordinary Cadet to Able Cadet,DR11
SCC CTP4 - Ordinary Cadet to Able Cadet,DR12
SCC CTP4 - Ordinary Cadet to Able Cadet,ES09
SCC CTP4 - Ordinary Cadet to Able Cadet,ES10
SCC CTP4 - Ordinary Cadet to Able Cadet,ES11
SCC CTP4 - Ordinary Cadet to Able Cadet,ES12
SCC CTP4 - Ordinary Cadet to Able Cadet,HS03
SCC CTP4 - Ordinary Cadet to Able Cadet,LT04
SCC CTP4 - Ordinary Cadet to Able Cadet,LT05
SCC CTP4 - Ordinary Cadet to Able Cadet,LT06
SCC CTP4 - Ordinary Cadet to Able Cadet,MT07
SCC CTP4 - Ordinary Cadet to Able Cadet,MT08
SCC CTP4 - Ordinary Cadet to Able Cadet,MT09
SCC CTP4 - Ordinary Cadet to Able Cadet,MT10
SCC CTP4 - Ordinary Cadet to Able Cadet,RA10
SCC CTP4 - Ordinary Cadet to Able Cadet,RA11
SCC CTP4 - Ordinary Cadet to Able Cadet,RA12
SCC CTP4 - Ordinary Cadet to Able Cadet,RA13
SCC CTP4 - Ordinary Cadet to Able Cadet,SM10
SCC CTP4 - Ordinary Cadet to Able Cadet,SM11
SCC CTP4 - Ordinary Cadet to Able Cadet,SM12
SCC CTP4 - Ordinary Cadet to Able Cadet,SM17
SCC CTP4 - Ordinary Cadet to Able Cadet,SM18
SCC CTP4 - Ordinary Cadet to Able Cadet,WB08
SCC CTP4 - Ordinary Cadet to Able Cadet,WB09
SCC CTP4 - Ordinary Cadet to Able Cadet,WB10
SCC CTP4 - Ordinary Cadet to Able Cadet,WB11
SCC CTP4 - Ordinary Cadet to Able Cadet,Eligible for Promotion to Able Cadet
SCC CTP5 - Able Cadet to Leading Cadet,BP01
SCC CTP5 - Able Cadet to Leading Cadet,BP02
SCC CTP5 - Able Cadet to Leading Cadet,BP03
SCC CTP5 - Able Cadet to Leading Cadet,BP04
SCC CTP5 - Able Cadet to Leading Cadet,BP05
SCC CTP5 - Able Cadet to Leading Cadet,BP06
SCC CTP5 - Able Cadet to Leading Cadet,BP07
SCC CTP5 - Able Cadet to Leading Cadet,BP08
SCC CTP5 - Able Cadet to Leading Cadet,CK17
SCC CTP5 - Able Cadet to Leading Cadet,CK18
SCC CTP5 - Able Cadet to Leading Cadet,CK19
SCC CTP5 - Able Cadet to Leading Cadet,CK20
SCC CTP5 - Able Cadet to Leading Cadet,DR13
SCC CTP5 - Able Cadet to Leading Cadet,DR14
SCC CTP5 - Able Cadet to Leading Cadet,DR15
SCC CTP5 - Able Cadet to Leading Cadet,DR16
SCC CTP5 - Able Cadet to Leading Cadet,LT07
SCC CTP5 - Able Cadet to Leading Cadet,LT08
SCC CTP5 - Able Cadet to Leading Cadet,LT09
SCC CTP5 - Able Cadet to Leading Cadet,LT10
SCC CTP5 - Able Cadet to Leading Cadet,LT11
